date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-11-06,1649.78,1661.44,1638.34,1824.93,1612.74,0.10616567057425844
2008-11-07,1677.83,1690.11,1612.74,1824.93,1714.12,0.0876727678012672
2008-11-10,1801.66,1803.12,1714.12,1891.94,1754.29,0.05010934360534172
2008-11-11,1781.36,1824.93,1778.33,1943.65,1754.29,0.09110454933309393
2008-11-12,1801.82,1806.23,1754.29,1987.22,1765.63,0.10289596075079648
2008-11-13,1874.08,1891.94,1765.63,1994.82,1831.76,0.06442627849398105
2008-11-14,1943.65,1943.65,1874.93,1994.82,1823.27,-0.06193501916497317
2008-11-17,1987.22,1987.22,1919.97,1994.82,1823.27,-0.08250218898763098
2008-11-18,1839.82,1994.82,1831.76,1976.95,1823.27,0.07453446532812999
2008-11-19,1953.16,1959.52,1823.27,1976.95,1835.09,-0.060450756722439616
2008-11-20,1932.43,1976.95,1900.27,1968.89,1801.56,-0.06772302230869946
2008-11-21,1920.73,1968.89,1835.09,1923.93,1801.56,-0.06204411864239121
2008-11-24,1837.64,1923.93,1835.86,1969.02,1801.56,0.07149387257569484
2008-11-25,1834.29,1883.1,1801.56,1969.02,1815.02,0.07345076296550711
2008-11-26,1843.49,1865.65,1815.02,1969.02,1799.84,0.06809367015823246
2008-11-27,1870.47,1969.02,1870.05,1891.13,1799.84,-0.03776056285318669
2008-11-28,1829.92,1866.26,1815.45,1952.67,1799.84,0.06707943516656466
2008-12-01,1864.2,1864.3,1799.84,2046.47,1814.9,0.09777384400815362
2008-12-02,1868.63,1891.13,1814.9,2046.47,1884.6,0.09517132872746338
2008-12-03,1952.67,1952.67,1884.6,2095.47,1965.09,0.07313063651308195
2008-12-04,1982.93,2046.47,1978.14,2107.6,1965.09,0.06287160918438868
2008-12-05,2013.17,2014.2,1965.09,2107.6,2014.28,0.046906123178867075
2008-12-08,2095.04,2095.47,2033.98,2107.6,2014.28,-0.038548190010691916
2008-12-09,2040.85,2107.6,2038.07,2107.29,1936.28,-0.05123845456549964
2008-12-10,2096.39,2096.39,2014.28,2107.29,1936.28,-0.0763741479400302
2008-12-11,2046.34,2107.29,2043.62,2038.18,1919.87,-0.06180302393541642
2008-12-12,1960.38,2038.18,1936.28,2030.39,1919.87,0.03571246391005825
2008-12-15,1975.03,2006.22,1941.05,2045.94,1919.87,0.03590325210249975
2008-12-16,1994.45,1994.96,1919.87,2075.38,1982.43,0.04057760284790296
2008-12-17,2001.42,2030.39,1995.65,2075.38,1982.43,0.036953762828391856
2008-12-18,2045.1,2045.94,1982.43,2075.38,1918.43,-0.061938291526086674
2008-12-19,2052.11,2075.38,2033.11,2055.37,1872.65,-0.08745145240752203
2008-12-22,2017.55,2055.37,1993.33,2019.23,1848.71,-0.0836856583479963
2008-12-23,1918.95,2019.23,1918.43,1912.78,1848.71,-0.03660335079079705
2008-12-24,1887.08,1912.78,1872.65,1902.71,1816.06,-0.03763486444665832
2008-12-25,1870.77,1902.71,1848.71,1881.08,1816.06,-0.029244642580327905
2008-12-26,1862.1,1881.08,1850.5,1867.41,1813.73,-0.025976048547338967
2008-12-29,1854.76,1861.3,1816.06,1882.96,1813.73,-0.022121460458495962
